User ID,From Station,To Station,Vehicle ID,Unlock Time,Lock Time,Total Time,Battery Used,Distance
128,25,14,17,11.766472444356054,0.0,13.108113230855935,33.54101966249685,6.708203932499369
138,19,25,10,2.6977705423413454,0.0,3.2977705423413397,15.0,3.0
69,25,15,7,70.76647244435605,0.0,72.46352871920377,42.42640687119285,8.48528137423857
136,25,0,151,3.7664724443560544,0.0,6.240335819726653,61.846584384264915,12.36931687685298
89,30,35,9,51.61438392822885,0.0,54.61438392822885,75.0,15.0
145,22,27,93,0,0.0,0.8485281374238696,21.213203435596427,4.242640687119285
147,26,27,22,4.699790613836797,0.0,5.299790613836791,15.0,3.0
90,26,17,146,61.19999999999999,0.0,63.36333076527839,54.083269131959845,10.816653826391969
100,26,6,20,51.6997906138368,0.0,53.8631213791152,54.083269131959845,10.816653826391969
153,25,14,10,0,0.0,1.3416407864998803,33.54101966249685,6.708203932499369
152,30,22,27,0,0.0,2.6832815729997606,67.0820393249937,13.416407864998739
154,13,6,82,0,0.0,0.8485281374238696,21.213203435596427,4.242640687119285
78,9,21,88,77.3655407583515,0.0,78.56554075835149,30.0,6.0
117,5,21,28,38.18594359548362,0.0,40.349274360762024,54.083269131959845,10.816653826391969
140,8,17,11,15.921636578116676,0.0,17.8190031742177,47.4341649025257,9.486832980505138
157,33,11,203,0,0.0,2.6832815729997606,67.0820393249937,13.416407864998739
158,20,10,122,0,0.0,1.6970562748477107,42.42640687119285,8.48528137423857
160,7,5,16,0,0.0,2.4738633753705983,61.846584384264915,12.36931687685298
146,4,35,209,14.975329359192983,0.0,18.034741067348648,76.48529270389179,15.297058540778355
121,27,13,22,41.79979061383679,0.0,43.4968468886845,42.42640687119285,8.48528137423857
163,2,5,12,0,0.0,1.8000000000000114,44.99999999999999,9.0
141,32,34,71,22.92530663744043,0.0,24.125306637440417,30.0,6.0
164,23,34,141,0,0.0,1.3416407864998803,33.54101966249685,6.708203932499369
165,29,13,124,0,0.0,2.6832815729997606,67.0820393249937,13.416407864998739
166,12,22,18,0,0.0,2.4738633753705983,61.846584384264915,12.36931687685298
132,3,12,196,35.28809160200635,0.0,37.45142236728475,54.083269131959845,10.816653826391969
